pairid,order,lineid1,linewav1,lineelement1,linepotential1,lineid2,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR,lineelement1_str,lineelement2_str
1,57,2,9783.3111,22.0,0.836,7,9861.7337,26.0,5.0638,-3188.6128296424795,5257.347726924627,13,83.49921727387773,0.2105904601297694,0.16376021038942,-0.23062276301209123,0.4396799665151857,Ti I,Fe I
2,57,3,9787.6874,22.0,0.8259,8,9868.1857,26.0,5.0856,-2992.7548661254928,5638.031585398794,17,104.43793653351001,0.30995944859240104,0.19315553870367133,-0.1324023725792908,0.6498357347317356,Ti I,Fe I
3,57,9,9879.583,22.0,1.8732,4,9811.5041,26.0,5.0117,-861.5576325452813,4002.7073473001246,12,113.8590384875027,-0.008997535929480611,0.3352499925892413,-1.5483406460158562,0.3297515237384225,Ti I,Fe I
4,56,14,9927.3506,22.0,1.8792,19,9980.4629,26.0,5.0331,-2021.5843917996754,4886.993791141357,13,126.04897838542782,0.19025175348603296,0.24595951495428076,-0.3659330338384333,0.49075761915412963,Ti I,Fe I
5,56,15,9944.2065,26.0,5.0117,30,10068.329,14.0,6.0986,-3033.1653856525736,5235.978127414695,17,120.27164699344888,0.11657501950554072,0.17309665124047582,-0.4373940320383949,0.44375452753450756,Fe I,Si I
6,56,21,9987.8684,26.0,2.1759,20,9986.475,12.0,5.932,-2613.889914616237,3966.6855657603282,14,100.3229717453552,-0.14730601823672043,0.16186581323226767,-0.9309672058587409,0.011177754748064457,Fe I,Mg I
7,56,25,10011.744,22.0,2.1535,18,9961.256,11.0,3.617,-3063.143515421868,4402.810073575899,11,87.36838277131339,0.059229032898042926,0.1490330942017373,-0.36353760584010564,0.22755045649466452,Ti I,Na I
8,56,28,10059.904,22.0,1.4298,27,10041.472,26.0,5.0117,-1160.509060278829,4695.216629023147,14,77.35258872261744,0.33809176363139615,0.35256625652115176,-0.7928105508742137,0.6023585516712889,Ti I,Fe I
9,56,32,10081.393,26.0,2.4242,22,9993.209,12.0,5.9328,-2182.3671770973688,4207.085998847857,14,87.35325361155907,-0.06757290498442664,0.20260561120169088,-0.579296527206377,0.08902489794496597,Fe I,Mg I
10,55,36,10155.162,26.0,2.1759,41,10193.224,28.0,4.0893,-2704.8798210686136,4535.019838006744,16,122.64123421036683,-0.0048783860818781485,0.19475652293920206,-0.46754063095630627,0.2931552364486585,Fe I,Ni I
11,55,38,10167.468,26.0,2.1979,46,10230.795,26.0,6.1189,-2587.7967429282858,5830.3832553487255,17,125.360361543762,0.4180811622532461,0.21030176916604337,-0.11168122474799332,0.8144074526139781,Fe I,Fe I
12,55,47,10265.216999999999,26.0,2.2227,34,10142.844000000001,26.0,5.0638,-2758.553195670003,4603.885952658222,10,113.13617407643991,0.0701897813654126,0.20367385107530311,-0.3714411034118859,0.29809349823199444,Fe I,Fe I
13,54,54,10332.327,26.0,3.6352,58,10347.965,26.0,5.3933,-3543.650755975906,4368.612627588905,15,74.22384550168015,-0.04551808423804982,0.16482841680929727,-0.3068899466859651,0.15741402635040486,Fe I,Fe I
14,54,55,10333.184000000001,26.0,4.5931,69,10455.47,16.0,6.8601,-1790.3905541551671,3846.756177381793,10,123.78061555566907,-0.4052240162738667,0.30756026783731016,-0.9053747987298107,-0.06795255306482179,Fe I,S I
15,54,56,10340.885,26.0,2.1979,49,10288.944,14.0,4.9201,-3335.7267411003795,4856.286183189279,15,72.87382527996498,0.03091137092562388,0.15519148933017854,-0.22913719913648625,0.2653319058668139,Fe I,Si I
16,54,57,10343.819,20.0,2.9325,61,10371.263,14.0,4.9296,-7021.330206686707,4545.916837541766,18,128.97477660366746,-0.040760982260527,0.09570945903981021,-0.24661159681824743,0.12946168715967774,Ca I,Si I
17,54,62,10378.601999999999,28.0,4.0882,70,10456.79,16.0,6.8601,-1365.9752388934996,5206.879547164206,13,87.00797538807133,0.045074733677656124,0.29974157820464303,-0.6700495849289027,0.44566173749802523,Ni I,S I
18,54,64,10395.794,26.0,2.1759,72,10469.652,26.0,3.8835,-8187.243066157767,4826.254459409423,18,89.68840244910281,0.028922669976875984,0.07463550344076987,-0.14805097388123317,0.12758009051747254,Fe I,Fe I
19,54,65,10396.802,22.0,0.8484,59,10353.804,26.0,5.3933,-2957.455809303854,6147.942848236488,15,81.44407596107648,0.49455483504375075,0.1816374932557776,0.2322306330382213,0.7692942202231989,Ti I,Fe I
20,54,66,10423.027,26.0,2.6924,60,10364.062,26.0,5.4457,-4547.514509096436,6714.9125783739655,15,126.3429429615577,0.44128521855878833,0.1188426162401683,0.08303819912751956,0.5932996981893677,Fe I,Fe I
21,54,67,10423.743,26.0,3.0713,52,10330.228000000001,28.0,4.1054,-7443.780503404884,5093.148636431782,11,141.84176174950264,0.06525330418094209,0.07695799385599938,-0.06146332699708537,0.15079162668849,Fe I,Ni I
22,54,68,10435.355,26.0,4.7331,71,10459.46,16.0,6.8601,-1435.8105551930885,4141.164620072052,12,140.98279086745603,-0.4889593628809782,0.3124929288464273,-1.4433405515804314,-0.09375107824849092,Fe I,S I
23,53,73,10486.25,24.0,3.0106,75,10501.506000000001,26.0,6.1053,-1519.6826096855311,5186.942158019437,17,112.81118078733297,0.19814660302797543,0.33199968505052263,-0.9682145160628022,0.8409259117342702,Cr I,Fe I
24,53,74,10496.113000000001,22.0,0.836,79,10535.708999999999,26.0,6.2057,-2060.2299816540763,5653.472028164669,14,56.64599335969008,0.41022958346194965,0.271872609553755,-0.3497738926545908,0.8267464874873716,Ti I,Fe I
25,53,76,10510.01,24.0,3.0133,84,10585.141000000001,14.0,4.9538,-1871.0422770928037,3148.047450463781,11,84.19622161612936,-0.7579040843995285,0.22269465609639916,-1.2576548283496878,-0.5641454536122533,Cr I,Si I
26,53,78,10530.514,28.0,4.1054,77,10529.524,15.0,6.9543,-1495.2167248977116,5438.37488506575,13,133.97804920897588,0.16378575424979971,0.2883830200072705,-0.5266190404754348,0.8496970078362441,Ni I,P I
27,53,81,10552.965,22.0,2.2492,85,10603.425,14.0,4.9296,-1193.870296414801,3352.786656861211,12,76.88633145528485,-0.6221034828597204,0.2694552858219127,-1.8515572090884076,-0.46110752519632975,Ti I,Si I
28,53,83,10577.139,26.0,3.3014,87,10611.686000000002,26.0,6.1692,-3515.737058242635,4845.818492335953,12,126.25433730275215,0.052815347374012944,0.1576100781111105,-0.2558789721406372,0.2329392558653302,Fe I,Fe I
29,53,92,10672.14,24.0,3.0133,89,10627.648000000001,14.0,5.8625,-1743.42288149267,4110.219134638209,12,101.20412894861497,-0.21949335128443528,0.31145520731514215,-0.8677363834546421,0.10933725007722567,Cr I,Si I
30,53,93,10677.046999999999,22.0,0.836,88,10616.721000000001,26.0,3.2671,-1628.8417077853323,4463.347010604957,11,85.01042929618687,0.17948426404911658,0.23167959966402335,-0.5620923674028946,0.3264126069447956,Ti I,Fe I
31,52,96,10725.185,26.0,3.6398,95,10694.251,14.0,5.9639,-2254.0646654239144,3707.3071130720687,14,121.82508542970785,-0.36450968681840284,0.21958736592040326,-0.8511879344180181,-0.10411959807325082,Fe I,Si I
32,52,97,10726.391000000001,22.0,0.8129,108,10786.848999999998,14.0,4.9296,-1487.1068541838542,4154.887878988974,10,69.7427799268885,-0.1031766906343298,0.2667494377599258,-0.8944412339480634,0.13199036040266288,Ti I,Si I
33,52,102,10753.003999999999,26.0,3.9597,94,10689.716,14.0,5.9537,-3162.605481596041,3845.7729464754757,14,117.24279381855683,-0.3014348102695357,0.1574305010030684,-0.5895381404333344,-0.10390953164348037,Fe I,Si I
34,52,103,10774.866000000002,22.0,0.8181,100,10746.448999999999,11.0,3.1914,-1589.41223648506,4900.925006570756,12,128.5351756255335,0.42357831307185034,0.24981012349227422,-0.4436809119969919,0.7210460904714602,Ti I,Na I
35,52,104,10780.694,26.0,3.2367,113,10827.088,14.0,4.9538,-2265.004139218938,2898.90970691256,13,116.36434765039046,-0.6403057811708877,0.20363353274978072,-1.1706155190850451,-0.45431956975459037,Fe I,Si I
36,52,105,10783.05,26.0,3.111,119,10869.536,14.0,5.0823,-3155.315656556402,3469.028114064306,16,138.9857327131237,-0.3823473894216078,0.1566706283026069,-0.7150901567079302,-0.17239274560228832,Fe I,Si I
37,52,109,10801.36,24.0,3.0111,110,10811.122,12.0,5.9459,-1704.7081587559433,3393.124055835254,12,99.93102873969464,-0.49647156660205266,0.22353629926972907,-1.2784493798775511,-0.33627389023958737,Cr I,Mg I
38,52,111,10816.91,24.0,3.0128,117,10849.465,26.0,5.5392,-1501.581220610407,4199.3251652372865,15,87.73265606484463,-0.02022781255934492,0.2922769519715759,-0.7801597046811625,0.2430399960171717,Cr I,Fe I
39,52,112,10818.274,26.0,3.9597,106,10784.562,14.0,5.9639,-2557.1678311212254,4591.590410558059,18,98.4093483021778,-0.07506809602305226,0.2059225719242584,-0.7219968827430446,0.2916161143593208,Fe I,Si I
40,52,115,10838.97,20.0,4.8775,121,10882.809,14.0,5.984,-2639.2056863903176,3926.2366311587084,18,132.9009185372024,-0.33283940331150746,0.22260466416308677,-0.7579088724254024,0.12772653218311883,Ca I,Si I
41,52,118,10863.518,26.0,4.7331,116,10843.858,14.0,5.8625,-4195.518181643373,3832.933633841915,17,119.25713467757473,-0.23573482237596616,0.13437940695378198,-0.6026696534444181,0.005578809318656993,Fe I,Si I
42,52,120,10881.758,26.0,2.845,98,10727.406,14.0,5.984,-2441.4051979789347,3932.9188702468277,14,142.05082560324718,-0.2762015442476527,0.22192264768474904,-0.7138666829811497,0.04689513542524779,Fe I,Si I
43,52,122,10884.261999999999,26.0,3.9286,123,10885.333,14.0,6.1807,-3163.1136624220326,4119.09233005458,14,121.20616849554642,-0.20643233035852135,0.18175981508463954,-0.4946896480096046,0.12092583266586773,Fe I,Si I
44,48,135,11797.186000000002,22.0,1.4298,134,11783.265,26.0,2.8316,-1043.917432484125,3675.2352790231716,10,111.81202639795005,-0.4130086342133806,0.21204130157389559,-2.049995228019707,-0.23831482998276174,Ti I,Fe I
45,47,137,11884.083,26.0,2.2227,141,11991.568000000001,14.0,4.9201,-4875.621156264603,4501.483363811199,15,95.42221446512006,-0.06070094890982767,0.11603704138406618,-0.32818360551389547,0.14433695981363842,Fe I,Si I
46,46,149,12119.493999999999,26.0,4.5931,148,12110.659,14.0,6.6161,-2048.60456676884,4448.1040670430175,10,119.89180302230008,-0.33215324650767825,0.11812571043278307,-0.9440634489394003,-0.25168310139715994,Fe I,Si I
47,46,154,12190.098,26.0,3.6352,151,12175.733,14.0,6.6192,-2794.5879567404345,5599.247812972394,11,98.5477042323844,0.2160478418079307,0.16919289205154087,-0.007754845786564228,0.615239124545511,Fe I,Si I
48,46,157,12227.112,26.0,4.607,152,12178.339,14.0,6.2694,-3423.0548432413866,5405.2868154484695,12,106.15475120168155,0.12200859366475532,0.12749787955734773,-0.00808641880215365,0.45804204985076824,Fe I,Si I
49,45,162,12340.481000000002,26.0,2.2786,172,12433.452,12.0,5.9328,-1906.4506158711192,4164.078080908863,14,115.15011518285637,-0.12109783495237916,0.23338035683493752,-0.8079655764365441,0.13771832939434728,Fe I,Mg I
50,45,163,12342.916000000001,26.0,4.6382,173,12457.132,12.0,6.4314,-3104.9805328814537,5962.423517598821,12,90.85120291930036,0.27800881579307835,0.12597515166456372,-0.06365235654305308,0.7509178547910057,Fe I,Mg I
51,45,171,12432.273000000001,19.0,1.61,165,12390.153999999999,14.0,5.0823,-3856.4920490197746,4490.934698873341,14,142.06464346605105,-0.040140789578386155,0.16277295664295688,-0.2601741509756387,0.2356464382152676,K I,Si I
52,45,174,12510.518999999998,26.0,4.9556,179,12583.923999999999,14.0,6.6161,-1896.6915107877414,4395.891843993817,11,149.05852709036637,-0.1513987930999354,0.26162993529251294,-0.8565860593272279,0.15042415297155765,Fe I,Si I
53,45,175,12522.133999999998,19.0,1.6171,169,12423.028999999999,12.0,5.932,-4842.814404664871,6046.929144989589,14,123.81641552387259,0.26168595582838944,0.11428428087637667,0.0882005920237856,0.45884286754752124,K I,Mg I
54,45,176,12532.84,24.0,2.7088,168,12417.937,12.0,5.9315,-1923.1045665852778,4814.905586500689,10,40.36113292057752,0.13998771144868322,0.2608325931141503,-0.364420653756367,0.4210110936607768,Cr I,Mg I
55,45,178,12556.996000000001,26.0,2.2786,167,12395.832,14.0,4.9538,-2981.3797031454815,4494.866078502065,11,74.01609036346129,-0.04907882635283642,0.1656515840100576,-0.3280094084532791,0.1552572436596482,Fe I,Si I
56,44,180,12600.277,22.0,1.4432,181,12615.928,26.0,4.6382,-1316.8777626533538,4217.347274056485,11,83.74455366402957,0.07308249709997812,0.2560566899791625,-0.9768598129227951,0.2793867352931738,Ti I,Fe I
57,44,186,12671.096000000001,22.0,1.4298,182,12638.703000000001,26.0,4.5585,-1659.1568810493416,4019.138610523184,13,86.45240036802835,-0.09479884668097033,0.25629634087562086,-0.8231028357629946,0.12525833030878236,Ti I,Fe I
58,44,191,12744.905,22.0,2.4875,184,12650.516000000001,14.0,7.0693,-1282.872708351155,4094.6522257038473,10,78.08988107329661,-0.003600859320536517,0.24972316526495814,-1.0880292005351409,0.15582043402793744,Ti I,Si I
59,44,196,12821.671999999999,22.0,1.4601,183,12648.741000000002,26.0,4.607,-2662.867075465006,4778.133203429429,12,120.83585169651367,0.12481552499337367,0.21046081830506408,-0.31085151501430064,0.34720375080601,Ti I,Fe I
60,44,197,12831.445,22.0,1.4298,194,12807.152,26.0,3.6398,-2134.3497477188444,4674.999431076994,11,134.60180965460378,0.12821650289457637,0.2344973616465917,-0.4112626549670709,0.3741807806293664,Ti I,Fe I
61,44,199,12847.034,22.0,1.4432,195,12808.243,26.0,4.988,-2831.2537463910926,5609.145608319111,12,120.59599660389749,0.38527775833136735,0.20538526211008348,0.030305865210194235,0.6077253380695055,Ti I,Fe I
62,43,204,12919.899,22.0,2.1535,220,13102.056999999999,14.0,6.0827,-944.225923627939,4034.6516445230245,10,77.58291902178532,-0.1306501539182354,0.37007672794428964,-1.8115259003406297,0.2555428404305851,Ti I,Si I
63,43,205,12921.81,24.0,2.7088,215,13014.841,26.0,5.4457,-1399.6782984771805,4324.327966788394,11,119.01922899157086,0.06564382857103038,0.312121342842095,-0.8566398511566518,0.4252085503903296,Cr I,Fe I
64,43,207,12932.313,28.0,2.7403,217,13030.921,14.0,6.0787,-2497.1792353534624,4401.605766363643,15,125.63682787075744,-0.10001483424851326,0.21692503839023394,-0.5383110618709803,0.2943044114392392,Ni I,Si I
65,43,209,12937.02,24.0,2.7099,218,13033.553999999998,20.0,4.441,-2780.536838170185,4224.846656097274,12,127.26226339677734,-0.038236692284930804,0.175638800895512,-0.49358274095177784,0.11547746749462813,Cr I,Ca I
66,43,210,12950.896,22.0,3.4406,223,13176.888,14.0,5.8625,-1883.1569397731641,3538.179000588079,13,141.49492183978145,-0.39023710149887597,0.2948810692671558,-0.9611642850275302,-0.052340023108304684,Ti I,Si I
67,43,211,12987.567,22.0,2.5057,202,12909.07,20.0,4.43,-1380.770227921173,3896.9563698019692,10,81.66506021272923,-0.10639800535385123,0.18388965849352912,-1.1534810269438498,0.021096962092648282,Ti I,Ca I
68,43,213,13006.684,26.0,2.9904,216,13029.524,14.0,6.0827,-2670.2117577181807,5150.652749678111,14,125.53354246660564,0.12905759394101357,0.19568090245587388,-0.1446072191121567,0.4627303396259307,Fe I,Si I
69,43,214,13011.896999999999,22.0,1.4432,208,12934.666000000001,26.0,5.3933,-1297.9896856355392,4704.160820629564,14,99.34859833131664,0.2805502976136061,0.3622613315953664,-0.5463931622597294,0.6529066849664227,Ti I,Fe I
